
 #  KliegelLevine-1.0.1

 # Curve of M(xs,ys) = M(0,1), 0 <= ys <= 1.
 # Coordinates are parameterized in terms of the throat radius.
 # tht = atan(V(x,y)/U(x,y)).

                  #    x                       y                M (mach)               tht (rad)
  4.1371777565218509E-01  0.0000000000000000E+00  1.1510167807797478E+00  0.0000000000000000E+00
  4.1360560762695969E-01  1.6666666666666666E-02  1.1510167807296301E+00  1.3885540860178658E-03
  4.1326907728798695E-01  3.3333333333333333E-02  1.1510167807721345E+00  2.7762421037058394E-03
  4.1270810491405430E-01  5.0000000000000003E-02  1.1510167807187173E+00  4.1621904239175587E-03
  4.1192255900241437E-01  6.6666666666666666E-02  1.1510167807293676E+00  5.5455103007902452E-03
  4.1091225645504897E-01  8.3333333333333329E-02  1.1510167807612870E+00  6.9252902845685048E-03
  4.0967696425504979E-01  1.0000000000000001E-01  1.1510167807579152E+00  8.3005886236907824E-03
  4.0821640142239635E-01  1.1666666666666667E-01  1.1510167807589813E+00  9.6704256451596027E-03
  4.0653024096973239E-01  1.3333333333333333E-01  1.1510167807429132E+00  1.1033776089652027E-02
  4.0461811269633458E-01  1.4999999999999999E-01  1.1510167807737566E+00  1.2389561424391442E-02
  4.0247960579581560E-01  1.6666666666666666E-01  1.1510167807586071E+00  1.3736642087714222E-02
  4.0011427267454558E-01  1.8333333333333332E-01  1.1510167807719685E+00  1.5073809728845410E-02
  3.9752163221128289E-01  2.0000000000000001E-01  1.1510167807459806E+00  1.6399779349478488E-02
  3.9470117422752088E-01  2.1666666666666667E-01  1.1510167807417055E+00  1.7713181443185719E-02
  3.9165236358530825E-01  2.3333333333333334E-01  1.1510167807283629E+00  1.9012554036124840E-02
  3.8837464521639053E-01  2.5000000000000000E-01  1.1510167807745375E+00  2.0296334716056033E-02
  3.8486744877882312E-01  2.6666666666666666E-01  1.1510167807695570E+00  2.1562852551657238E-02
  3.8113019452430308E-01  2.8333333333333333E-01  1.1510167807818481E+00  2.2810320038013109E-02
  3.7716229842044413E-01  2.9999999999999999E-01  1.1510167807250029E+00  2.4036824898658275E-02
  3.7296317857690159E-01  3.1666666666666665E-01  1.1510167807711145E+00  2.5240321942199637E-02
  3.6853226036764680E-01  3.3333333333333331E-01  1.1510167807277674E+00  2.6418624706233428E-02
  3.6386898360215142E-01  3.4999999999999998E-01  1.1510167807420251E+00  2.7569397262156396E-02
  3.5897280802018944E-01  3.6666666666666664E-01  1.1510167807700686E+00  2.8690145764663527E-02
  3.5384321981109679E-01  3.8333333333333330E-01  1.1510167807334131E+00  2.9778210057427815E-02
  3.4847973822616046E-01  4.0000000000000002E-01  1.1510167807607041E+00  3.0830755246926959E-02
  3.4288192116655408E-01  4.1666666666666669E-01  1.1510167807676814E+00  3.1844763075713468E-02
  3.3704937160946430E-01  4.3333333333333335E-01  1.1510167807446001E+00  3.2817023362238018E-02
  3.3098174338229014E-01  4.5000000000000001E-01  1.1510167807552052E+00  3.3744125298315358E-02
  3.2467874637804939E-01  4.6666666666666667E-01  1.1510167807666307E+00  3.4622448597171084E-02
  3.1814015177078553E-01  4.8333333333333334E-01  1.1510167807762939E+00  3.5448154580454208E-02
  3.1136579648591589E-01  5.0000000000000000E-01  1.1510167807687728E+00  3.6217177067263413E-02
  3.0435558720491829E-01  5.1666666666666661E-01  1.1510167807739538E+00  3.6925213094243556E-02
  2.9710950343869641E-01  5.3333333333333333E-01  1.1510167807590233E+00  3.7567713350590469E-02
