
 #  KliegelLevine-1.0.1

 # Curve of M(xs,ys) = M(0,1), 0 <= ys <= 1.
 # Coordinates are parameterized in terms of the throat radius.
 # tht = atan(V(x,y)/U(x,y)).

                  #    x                       y                M (mach)               tht (rad)
  2.8962760013528172E-01  5.5000000000000004E-01  1.1510167807713252E+00  3.8139872390160902E-02
  2.8191000889055440E-01  5.6666666666666665E-01  1.1510167807200584E+00  3.8636618381895346E-02
  2.7395693897269657E-01  5.8333333333333337E-01  1.1510167807755960E+00  3.9052602617560078E-02
  2.6576867583207781E-01  5.9999999999999998E-01  1.1510167807175002E+00  3.9382188172321288E-02
  2.5734558035619554E-01  6.1666666666666670E-01  1.1510167807624729E+00  3.9619438421267826E-02
  2.4868808467872444E-01  6.3333333333333330E-01  1.1510167807772282E+00  3.9758104296235469E-02
  2.3979668826796108E-01  6.5000000000000002E-01  1.1510167807744578E+00  3.9791611102313704E-02
  2.3067195168696342E-01  6.6666666666666663E-01  1.1510167807803551E+00  3.9713044113857517E-02
  2.2131448886357247E-01  6.8333333333333335E-01  1.1510167807737439E+00  3.9515133007876742E-02
  2.1172495787031953E-01  6.9999999999999996E-01  1.1510167807679526E+00  3.9190234978367280E-02
  2.0190404974855480E-01  7.1666666666666667E-01  1.1510167807325256E+00  3.8730316202306374E-02
  1.9185247574932873E-01  7.3333333333333328E-01  1.1510167807128293E+00  3.8126931555443951E-02
  1.8157095243223015E-01  7.5000000000000000E-01  1.1510167807633007E+00  3.7371202152723118E-02
  1.7106018462218342E-01  7.6666666666666661E-01  1.1510167807471223E+00  3.6453790414331305E-02
  1.6032084706239408E-01  7.8333333333333333E-01  1.1510167807677671E+00  3.5364872651895383E-02
  1.4935356290079654E-01  8.0000000000000004E-01  1.1510167807697425E+00  3.4094108139232721E-02
  1.3815888068638743E-01  8.1666666666666665E-01  1.1510167807769462E+00  3.2630604862940026E-02
  1.2673724857158952E-01  8.3333333333333337E-01  1.1510167807868914E+00  3.0962881003189155E-02
  1.1508898609317839E-01  8.4999999999999998E-01  1.1510167807487328E+00  2.9078821743745674E-02
  1.0321425353176893E-01  8.6666666666666670E-01  1.1510167807887273E+00  2.6965630822234656E-02
  9.1113017546013017E-02  8.8333333333333330E-01  1.1510167807290557E+00  2.4609775537506446E-02
  7.8785014944151049E-02  9.0000000000000002E-01  1.1510167807858740E+00  2.1996925263404604E-02
  6.6229711240157474E-02  9.1666666666666663E-01  1.1510167807784100E+00  1.9111880982272868E-02
  5.3446256788447513E-02  9.3333333333333335E-01  1.1510167807286722E+00  1.5938496077486319E-02
  4.0433437610045087E-02  9.4999999999999996E-01  1.1510167807645555E+00  1.2459585747738419E-02
  2.7189620723947882E-02  9.6666666666666667E-01  1.1510167807442404E+00  8.6568233940661592E-03
  1.3712694356217983E-02  9.8333333333333328E-01  1.1510167807666132E+00  4.5106224641829826E-03
  0.0000000000000000E+00  1.0000000000000000E+00  1.1510167807496812E+00  1.8860121955256797E-17
