         x,          y,          M,          tht
0.0000000000e+00,1.0000000000e+00,1.1532900000e+00,-4.9711148980e-05
1.0081008101e-02,9.8750000000e-01,1.1532648170e+00,3.2393036063e-03
2.0162016202e-02,9.7500000000e-01,1.1532746075e+00,6.3687797821e-03
3.0123012301e-02,9.6250000000e-01,1.1532782138e+00,9.2817451167e-03
3.9963996400e-02,9.5000000000e-01,1.1532737021e+00,1.1994414305e-02
4.9684968497e-02,9.3750000000e-01,1.1532470767e+00,1.4520107552e-02
5.9285928593e-02,9.2500000000e-01,1.1532060378e+00,1.6870321258e-02
6.8886888689e-02,9.1250000000e-01,1.1532720008e+00,1.9118429994e-02
7.8247824782e-02,9.0000000000e-01,1.1532182175e+00,2.1145362763e-02
8.7608760876e-02,8.8750000000e-01,1.1532748165e+00,2.3084476812e-02
9.6729672967e-02,8.7500000000e-01,1.1532214552e+00,2.4823013975e-02
1.0585058506e-01,8.6250000000e-01,1.1532814568e+00,2.6485944426e-02
1.1473147315e-01,8.5000000000e-01,1.1532375255e+00,2.7966124788e-02
1.2349234923e-01,8.3750000000e-01,1.1532009499e+00,2.9327601163e-02
1.3225322532e-01,8.2500000000e-01,1.1532794466e+00,3.0628254691e-02
1.4077407741e-01,8.1250000000e-01,1.1532631013e+00,3.1769233250e-02
1.4917491749e-01,8.0000000000e-01,1.1532576582e+00,3.2808426212e-02
1.5745574557e-01,7.8750000000e-01,1.1532641171e+00,3.3750982317e-02
1.6561656166e-01,7.7500000000e-01,1.1532840105e+00,3.4601202769e-02
1.7353735374e-01,7.6250000000e-01,1.1532177132e+00,3.5319312420e-02
1.8145814581e-01,7.5000000000e-01,1.1532648454e+00,3.5998873657e-02
1.8913891389e-01,7.3750000000e-01,1.1532274642e+00,3.6556340352e-02
1.9669966997e-01,7.2500000000e-01,1.1532062040e+00,3.7039560851e-02
2.0414041404e-01,7.1250000000e-01,1.1531992258e+00,3.7451602369e-02
2.1146114611e-01,7.0000000000e-01,1.1532074709e+00,3.7795524989e-02
2.1866186619e-01,6.8750000000e-01,1.1532312437e+00,3.8074350734e-02
2.2574257426e-01,6.7500000000e-01,1.1532687977e+00,3.8290679584e-02
2.3258325833e-01,6.6250000000e-01,1.1532268900e+00,3.8411754920e-02
2.3930393039e-01,6.5000000000e-01,1.1532012541e+00,3.8477565929e-02
2.4602460246e-01,6.3750000000e-01,1.1532830025e+00,3.8523376083e-02
2.5250525053e-01,6.2500000000e-01,1.1532853837e+00,3.8483765272e-02
2.5874587459e-01,6.1250000000e-01,1.1532095861e+00,3.8363520180e-02
2.6498649865e-01,6.0000000000e-01,1.1532393590e+00,3.8228179040e-02
2.7110711071e-01,5.8750000000e-01,1.1532821598e+00,3.8047580386e-02
2.7698769877e-01,5.7500000000e-01,1.1532479629e+00,3.7795016639e-02
2.8274827483e-01,5.6250000000e-01,1.1532264282e+00,3.7502092184e-02
2.8838883888e-01,5.5000000000e-01,1.1532179165e+00,3.7170159768e-02
2.9390939094e-01,5.3750000000e-01,1.1532212389e+00,3.6801034429e-02
2.9930993099e-01,5.2500000000e-01,1.1532358092e+00,3.6395896854e-02
3.0459045905e-01,5.1250000000e-01,1.1532606959e+00,3.5956184765e-02
3.0963096310e-01,5.0000000000e-01,1.1532093208e+00,3.5459600229e-02
3.1467146715e-01,4.8750000000e-01,1.1532555150e+00,3.4955519651e-02
3.1947194719e-01,4.7500000000e-01,1.1532256355e+00,3.4398651751e-02
